Cash Out successful. %(value)%(currencySymbol) added to your balance,Cash Out riuscito. %(value)%(currencySymbol) sono aggiunti al tuo bilancio,,,
Cashed Out,Incassato,,,
Clear,Pulisci,,,
Click here,Clicca Qui,,,
Click here to watch a video tutorial,Clicca qui per vedere un video tutorial,,,
Close,Chiudi,,,
Connection Lost! Please check your internet connection.,Connessione Persa! Per favore controlla la tua connessione Internet.,,,
Date,Data,,,
Draw,Pareggio,,,
Draw excluding 0-0,Pareggio escluso 0-0,,,
EU,EU,,,
Event name,Nome evento,,,
Event view,Vista evento,,,
Events,Eventi,,,
Events start time,Inizio eventi,,,
Exclude stake info,Escludi le informazioni della puntata,,,
Favorites,Preferiti,,,
Go to settled bets,Vai alle scommesse chiuse,,,
Has streaming video!,Streaming disponibile!,,,
Help,Aiuto,,,
Help & Support,Aiuto & Supporto,,,
Hide,Nascondi,,,
1. hour,1. Ora,,,
2. hours,2. Ore,,,
Include all bet info,Includi tutti i dettagli della scommessa,,,
Information and scoreboard delays,Informazioni e ritardi del tabellone,,,
Invalid bet,Scommessa non valida,,,
ITF Live Score,ITF Punteggi Live,,,
Left,Sinistra,,,
Links,Links,,,
live,Live,,,
Live Bet,Scommessa Live,,,
Live now,Live Ora,,,
Live Score,Punteggio Live,,,
Live Search,Cerca Live,,,
Main page,Pagina principale,,,
Market,Mercato,,,
Match details,Dettagli incontro,,,
Match ended,Incontro concluso,,,
Match start time,Ora inizio incontro,,,
Matches,Incontri,,,
Multiple,Multipla,,,
My Bets,Le Mie Scommesse,,,
My placed bet,Le Mie Scommesse piazzate,,,
New,Nuovo,,,
New to BetBuilder? %(videoComponent) or %(readRulesComponent),Nuovo al Bet Builder? %(videoComponent) o %(readRulesComponent),,,
Next,Prossimo,,,
Next events,Prossimi eventi,,,
No,No,,,
No disciplines currently available,Non ci sono discipline disponibili al momento,,,
No markets currently available.,Non ci sono mercati disponibili al momento.,,,
No matches currently available,Non ci sono incontri disponibli al momento,,,
No outrights currently available,Nessun Outrights disponibile al momento,,,
